id,category,symptom,signals,likely_causes,evidence_to_collect,experiments,common_wrong_fix,verification,severity,tags,reference,stack
database-constraint,database,duplicate or invalid row appears,unique or foreign key constraint absent or bypassed,application-only validation race,live schema and concurrent insert trace,run two writers against real DB,check then insert without constraint,constraint or idempotency prevents duplicate,high,database integrity,references/hypothesis-driven-debugging.md,node
database-n-plus-one,database,latency grows with collection size,query count scales with item count,query in loop or lazy relation,query count timings and row count,compare one item and 100 items,add arbitrary cache,query count follows intended bound,medium,database query,references/performance.md,node
render-churn,rendering,typing or scroll janks,render count and JS/UI thread work rise,unstable inputs effect loop or broad state owner,profiler flame and render count,freeze unrelated state and profile again,memoize every component,frame budget and render cause improve,high,render performance,references/performance.md,react
render-hydration,rendering,server and client markup differ,hydration warning or first-paint replacement,environment-dependent render or client-only value,server HTML client value and route phase,replace time/random/browser read with stable input,disable hydration warnings,stable first render then client update,high,hydration mismatch,references/performance.md,nextjs
navigation-route,navigation,back or deep link lands incorrectly,route params missing or stack differs by entry path,non-serializable params or split navigation ownership,entry URL route state and navigation events,launch cold and warm via deep link,reset whole navigation stack,all supported entry paths resolve correct screen,high,navigation deep link,references/async-races.md,react-native
memory-list,memory,memory rises after repeated list visits,heap or native image/resource baseline never returns,listener image cache or retained closure,heap snapshots and resource/listener counts,repeat visit with bounded dataset,raise memory limit or force GC only,baseline returns within known tolerance,high,memory retention,references/memory.md,react-native
memory-cache,memory,cache grows without bound,cache entries and decoded images increase with usage,unbounded cache or missing eviction,cache size hit rate and entry age,load varied keys beyond expected working set,disable caching globally,bounded eviction preserves correctness,medium,memory cache,references/memory.md,*
cpu-blocking,cpu,interaction freezes during computation,long synchronous task on main or JS thread,parsing loop serialization or crypto on hot path,profile task duration and thread,move one computation off path or chunk it,add arbitrary delay,interaction stays within measured budget,high,cpu event loop,references/performance.md,node
build-toolchain,build,build fails before source compilation,first tool error names JDK SDK compiler or plugin mismatch,toolchain version incompatibility,exact first error and resolved versions,run supported version matrix,delete caches repeatedly,same target builds with recorded toolchain,high,build toolchain,references/build-failures.md,*
dependency-mismatch,build,only one package or platform fails,lockfile has duplicated incompatible versions,peer native or transitive mismatch,package tree lockfile and affected importer,resolve one dependency edge and rerun target,force install or delete lockfile,resolved graph and target build are coherent,high,dependency mismatch,references/build-failures.md,package-manager
ci-only,ci,local passes but CI fails,environment or clean checkout differs,missing secret tool version path or test order,CI command env names cache state and artifact,run clean temp checkout or matching container,skip failing CI test,CI reproduces or difference is documented,high,ci environment,references/build-failures.md,ci
config-env,environment,works locally but fails in target env,missing or wrong typed config value,configuration precedence or secret injection,variable names only source and effective non-secret metadata,run with variable absent and valid placeholder,print all environment values,missing config fails safely and valid config works,high,configuration environment,references/networking.md,*
native-crash,native,release app crashes in native path,device log symbolicated frame or signal,platform lifecycle permission ABI or native module mismatch,crash log symbols device OS build and native versions,reproduce on affected device/variant with symbols,catch native error in JS/Dart only,affected release path no longer crashes,critical,native crash,references/build-failures.md,ios
docker-env-port,environment,Docker service has wrong environment or exposed port,container sees missing config or host cannot reach mapped service port,Compose environment precedence service versus host port mapping or wrong network binding,effective container environment docker compose config port mapping and health endpoint,render the resolved Compose config and test service to service and host paths,rebuild image repeatedly without checking runtime config,Docker service starts with validated config and both expected network paths work,high,configuration environment;docker ports,references/networking.md,docker
tauri-ipc-permission,native,Tauri frontend command fails or is denied at the IPC boundary,invoke error or capability rejection occurs between frontend and Rust command,command not registered capability permission missing or serialized payload mismatch,frontend invoke payload Rust command registration capability files and desktop logs,call the command with a minimal payload then verify registration capabilities and serialized fields,catch the error only in the frontend or disable permission checks,frontend and Rust command agree on registration permissions payload and failure handling,high,tauri ipc;capabilities permissions;serialization payload,references/build-failures.md,tauri
android-r8-release,build,Android release build or app fails after R8 minification,release-only missing class method or obfuscated Logcat stack appears for a variant,missing keep rule reflection generated or native class and variant-specific shrinker configuration,Gradle variant R8 warnings mapping.txt missing symbols and comparable debug release behavior,compare the affected release variant with debug inspect mapping and add the narrow keep rule required by evidence,disable minification globally or ship without mapping files,the affected release variant builds and reproduces with symbolicated evidence when needed,high,build toolchain;android r8;proguard release;minification mapping,references/build-failures.md,android
